"Season","Start Cost","End Cost","Total Points","Minutes","Goals Scored","Assists","Clean Sheets","Goals Conceded","Own Goals","Penalties Saved","penalties_missed","Yellow cards","Red Cards","Saves","Bonus Points","bps","Influence","Creativity","Threat","ICT Index","Starts","xG","xA","xG Involvements","xG Conceded","Player ID"
"2022/23",60,56,40,500,1,2,2,5,0,0,0,0,0,0,2,134,"116.0","180.6","123.0","41.5",3,"0.86","1.39","2.25","5.28",1
"2023/24",55,54,24,290,1,3,1,2,0,0,0,0,1,0,0,67,"82.8","88.8","85.0","25.5",2,"1.25","0.64","1.89","1.83",1
"2016/17",90,91,67,651,7,4,3,5,0,0,0,2,0,0,12,258,"335.8","165.9","436.0","92.9",0,"0.00","0.00","0.00","0.00",2
"2017/18",105,104,126,1660,13,7,9,12,0,0,2,6,0,0,18,473,"603.6","360.3","1089.0","204.9",0,"0.00","0.00","0.00","0.00",2
"2018/19",105,99,79,1017,7,3,2,11,0,0,0,1,0,0,7,259,"395.2","300.5","864.0","156.3",0,"0.00","0.00","0.00","0.00",2
"2019/20",95,99,146,2018,14,8,12,14,0,0,1,3,0,0,17,535,"757.6","447.7","1620.0","282.1",0,"0.00","0.00","0.00","0.00",2
"2020/21",95,91,115,2056,9,5,11,17,0,0,0,2,0,0,16,453,"501.0","467.5","931.0","190.0",0,"0.00","0.00","0.00","0.00",2
"2021/22",85,86,120,1871,8,8,11,15,0,0,0,1,0,0,16,488,"567.4","530.9","1126.0","222.3",0,"0.00","0.00","0.00","0.00",2
"2022/23",80,81,125,2064,11,7,9,23,0,0,0,6,0,0,17,401,"660.6","427.8","1331.0","241.9",24,"14.24","2.91","17.15","23.15",2
"2023/24",80,77,85,1470,4,7,11,11,0,0,0,6,0,0,10,271,"364.8","403.0","756.0","152.7",17,"6.27","3.26","9.53","11.67",2
"2020/21",50,49,78,1996,2,0,6,24,0,0,0,2,1,0,7,385,"464.8","51.0","233.0","74.9",0,"0.00","0.00","0.00","0.00",3
"2021/22",50,53,146,3063,5,0,13,38,0,0,0,6,1,0,16,682,"746.8","131.6","470.0","134.7",0,"0.00","0.00","0.00","0.00",3
"2022/23",50,52,146,3409,3,0,14,43,0,0,0,5,0,0,15,723,"743.8","131.4","401.0","127.7",38,"5.04","0.66","5.70","41.84",3
"2023/24",50,54,149,3042,3,1,16,26,1,0,0,4,0,0,8,676,"675.8","121.9","379.0","117.9",34,"4.48","0.65","5.13","26.18",3
"2020/21",85,83,91,1512,4,6,8,15,0,0,0,2,0,0,3,268,"325.0","307.7","514.0","114.2",0,"0.00","0.00","0.00","0.00",4
"2021/22",85,79,112,1802,8,4,10,18,0,0,0,3,0,0,5,271,"461.2","329.5","939.0","171.9",0,"0.00","0.00","0.00","0.00",4
"2022/23",80,74,102,2565,7,1,9,31,0,0,0,5,0,0,13,301,"476.4","536.6","1014.0","202.5",30,"11.58","2.75","14.33","38.25",4
"2023/24",75,76,180,2627,13,10,16,22,0,0,0,11,0,0,15,515,"763.2","613.4","1027.0","240.2",30,"12.36","3.88","16.23","21.03",4
"2021/22",40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",5
"2022/23",40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",5
"2023/24",40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",5
"2023/24",50,46,0,70,0,0,0,0,0,0,0,2,0,0,0,4,"5.8","4.7","2.0","1.3",1,"0.00","0.02","0.02","0.28",6
