"Team ID","Team","Abbreviation","Team Strength"
1,"Arsenal","ARS",5
2,"Aston Villa","AVL",3
3,"AFC Bournemouth","BOU",3
4,"Brentford","BRE",3
5,"Brighton & Hove Albion","BHA",3
6,"Chelsea","CHE",4
7,"Crystal Palace","CRY",3
8,"Everton","EVE",3
9,"Fulham","FUL",3
10,"Ipswich Town","IPS",3
11,"Leicester City","LEI",3
12,"Liverpool","LIV",5
13,"Manchester City","MCI",5
14,"Manchester United","MUN",3
15,"Newcastle United","NEW",3
16,"Nottingham Forest","NFO",3
17,"Southampton","SOU",2
18,"Tottenham Hotspur","TOT",4
19,"West Ham United","WHU",3
20,"Wolverhampton Wanderers","WOL",3
